escola;sexo;idade;endereco;tam_familia;status_pais;esc_mae;esc_pai;trab_mae;trab_pai;motivo_escola;responsavel;tempo_viagem;tempo_estudo;reprovacoes;apoio_escola;apoio_familia;aula_paga;atividades;creche;sup_desejado;internet;namoro;rel_familia;tempo_livre;sair_amigos;alcool_semana;alcool_fds;saude;faltas;nota1;nota2;nota_final
GP;F;18;U;GT3;A;4;4;casa;professora;curso;mae;2;2;0;1;0;0;0;1;1;0;0;4;3;4;1;1;3;4;0;11;11
GP;F;17;U;GT3;T;1;1;casa;outro;curso;pai;1;2;0;0;1;0;0;0;1;1;0;5;3;3;1;1;3;2;9;11;11
GP;F;15;U;LE3;T;1;1;casa;outro;outro;mae;1;2;0;1;0;0;0;1;1;1;0;4;3;2;2;3;3;6;12;13;12
GP;F;15;U;GT3;T;4;2;saude;servicos;casa;mae;1;3;0;0;1;0;1;1;1;1;1;3;2;2;1;1;5;0;14;14;14
GP;F;16;U;GT3;T;3;3;outro;outro;casa;pai;1;2;0;0;1;0;0;1;1;0;0;4;3;2;1;2;5;0;11;13;13
GP;M;16;U;LE3;T;4;3;servicos;outro;reputacao;mae;1;2;0;0;1;0;1;1;1;1;0;5;4;2;1;2;5;6;12;12;13
GP;M;16;U;LE3;T;2;2;outro;outro;casa;mae;1;2;0;0;0;0;0;1;1;1;0;4;4;4;1;1;3;0;13;12;13
GP;F;17;U;GT3;A;4;4;outro;professora;casa;mae;2;2;0;1;1;0;0;1;1;0;0;4;1;4;1;1;1;2;10;13;13
GP;M;15;U;LE3;A;3;2;servicos;outro;casa;mae;1;2;0;0;1;0;0;1;1;1;0;4;2;2;1;1;1;0;15;16;17
GP;M;15;U;GT3;T;3;4;outro;outro;casa;mae;1;2;0;0;1;0;1;1;1;1;0;5;5;1;1;1;5;0;12;12;13
GP;F;15;U;GT3;T;4;4;professora;saude;reputacao;mae;1;2;0;0;1;0;0;1;1;1;0;3;3;3;1;2;2;2;14;14;14
GP;F;15;U;GT3;T;2;1;servicos;outro;reputacao;pai;3;3;0;0;1;0;1;1;1;1;0;5;2;2;1;1;4;0;10;12;13
GP;M;15;U;LE3;T;4;4;saude;servicos;curso;pai;1;1;0;0;1;0;1;1;1;1;0;4;3;3;1;3;5;0;12;13;12
GP;M;15;U;GT3;T;4;3;professora;outro;curso;mae;2;2;0;0;1;0;0;1;1;1;0;5;4;3;1;2;3;0;12;12;13
GP;M;15;U;GT3;A;2;2;outro;outro;casa;outro;1;3;0;0;1;0;0;1;1;1;1;4;5;2;1;1;3;0;14;14;15
GP;F;16;U;GT3;T;4;4;saude;outro;casa;mae;1;1;0;0;1;0;0;1;1;1;0;4;4;4;1;2;2;6;17;17;17
GP;F;16;U;GT3;T;4;4;servicos;servicos;reputacao;mae;1;3;0;0;1;0;1;1;1;1;0;3;2;3;1;2;2;10;13;13;14
GP;F;16;U;GT3;T;3;3;outro;outro;reputacao;mae;3;2;0;1;1;0;1;1;1;0;0;5;3;2;1;1;4;2;13;14;14
GP;M;17;U;GT3;T;3;2;servicos;servicos;curso;mae;1;1;3;0;1;1;1;1;1;1;0;5;5;5;2;4;5;2;8;8;7
GP;M;16;U;LE3;T;4;3;saude;outro;casa;pai;1;1;0;0;0;0;1;1;1;1;0;3;1;3;1;3;5;6;12;12;12
GP;M;15;U;GT3;T;4;3;professora;outro;reputacao;mae;1;2;0;0;0;0;0;1;1;1;0;4;4;1;1;1;1;0;12;13;14
GP;M;15;U;GT3;T;4;4;saude;saude;outro;pai;1;1;0;0;1;1;0;1;1;1;0;5;4;2;1;1;5;0;11;12;12
GP;M;16;U;LE3;T;4;2;professora;outro;curso;mae;1;2;0;0;0;0;1;1;1;1;0;4;5;1;1;3;5;0;12;13;14
GP;M;16;U;LE3;T;2;2;outro;outro;reputacao;mae;2;2;0;0;1;0;1;1;1;1;0;5;4;4;2;4;5;2;10;10;10
GP;F;15;R;GT3;T;2;4;servicos;saude;curso;mae;1;3;0;1;1;0;1;1;1;1;0;4;3;2;1;1;5;2;10;11;10
GP;F;16;U;GT3;T;2;2;servicos;servicos;casa;mae;1;1;0;0;1;0;0;0;1;1;0;1;2;2;1;3;5;6;10;11;12
GP;M;15;U;GT3;T;2;2;outro;outro;casa;mae;1;1;0;0;1;0;0;1;1;1;0;4;2;2;1;2;5;8;11;12;12
GP;M;15;U;GT3;T;4;2;saude;servicos;outro;mae;1;1;0;0;0;0;0;1;1;1;0;2;2;4;2;4;1;0;11;11;11
GP;M;16;U;LE3;A;3;4;servicos;outro;casa;mae;1;2;0;1;1;1;1;1;1;1;0;5;3;3;1;1;5;2;12;12;13
GP;M;16;U;GT3;T;4;4;professora;professora;casa;mae;1;2;0;0;1;1;1;1;1;1;1;4;4;5;5;5;5;4;12;11;12
GP;M;15;U;GT3;T;4;4;saude;servicos;casa;mae;1;2;0;0;1;1;0;0;1;1;0;5;4;2;3;4;5;0;10;11;11
GP;M;15;U;GT3;T;4;4;servicos;servicos;reputacao;mae;2;2;0;0;1;0;1;1;1;1;0;4;3;1;1;1;5;2;15;15;15
GP;M;15;R;GT3;T;4;3;professora;casa;curso;mae;1;2;0;0;1;0;1;1;1;1;1;4;5;2;1;1;5;0;13;14;15
GP;M;15;U;LE3;T;3;3;outro;outro;curso;mae;1;2;0;0;0;0;1;0;1;1;0;5;3;2;1;1;2;0;13;12;12
GP;M;16;U;GT3;T;3;2;outro;outro;casa;mae;1;1;0;0;1;0;0;0;1;1;0;5;4;3;1;1;5;4;12;12;12
GP;F;15;U;GT3;T;2;3;outro;outro;outro;pai;2;1;0;0;1;0;1;1;1;0;0;3;5;1;1;1;5;4;11;11;11
GP;M;15;U;LE3;T;4;3;professora;servicos;casa;mae;1;3;0;0;1;0;1;1;1;1;0;5;4;3;1;1;4;0;14;14;14
GP;M;16;R;GT3;A;4;4;outro;professora;reputacao;mae;2;3;0;0;1;0;1;1;1;1;1;2;4;3;1;1;5;4;13;13;13
GP;F;15;R;GT3;T;3;4;servicos;saude;curso;mae;1;3;0;1;1;0;1;1;1;1;0;4;3;2;1;1;5;2;11;12;12
GP;F;15;R;GT3;T;2;2;casa;outro;reputacao;mae;1;1;0;1;1;0;1;1;1;0;0;4;3;1;1;1;2;8;14;13;12
